scenario,simulation,observed_homogenization,latent_homogenization,observed_between_change,latent_between_change,observed_group_mean_variance_change,observed_icc_change,latent_icc_change
convergence_only,129,0.468526,0.51,-0.024705,-0.02236,-0.045441,0.055999,0.072622
convergence_only,130,0.489356,0.51,0.007447,0.013595,-0.012827,0.080415,0.093269
convergence_only,131,0.456983,0.51,0.014361,-6.77e-4,-0.006111,0.057625,0.059048
convergence_only,132,0.479291,0.51,-0.001037,0.004978,-0.022936,0.089203,0.112068
convergence_only,133,0.472078,0.51,0.016652,0.008365,-0.003105,0.086517,0.091647
convergence_only,134,0.44185,0.51,0.001371,-0.002275,-0.016871,0.073239,0.097243
convergence_only,135,0.456529,0.51,0.004345,-0.001244,-0.014578,0.091985,0.113097
convergence_only,136,0.453108,0.51,-0.018187,-0.0085,-0.038238,0.087192,0.119562
convergence_only,137,0.472369,0.51,-0.006411,-0.004431,-0.027519,0.077814,0.096655
convergence_only,138,0.481152,0.51,-0.003022,0.001166,-0.025846,0.078666,0.103362
convergence_only,139,0.462677,0.51,0.009486,7.62e-4,-0.01054,0.062411,0.064372
convergence_only,140,0.450371,0.51,0.018996,0.006674,-0.00351,0.083119,0.097897
convergence_only,141,0.458,0.51,-0.009503,-0.009056,-0.029593,0.063284000000000007,0.08609
convergence_only,142,0.487411,0.51,0.024726,0.005656,0.002375,0.097829,0.093051
